2019/05/08 19:04:25 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /cmv.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:26 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /cmdd.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:26 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /knal.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:26 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /cmd.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:26 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /shell.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:26 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /appserv.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:26 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /scripts/setup.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:26 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:26 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /phpMyAdmin/scripts/setup.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:26 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /phpmyadmin/scripts/db___.init.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:26 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /phpMyAdmin/scripts/db___.init.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:26 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /plugins/weathermap/editor.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:26 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /cacti/plugins/weathermap/editor.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
